State,Hit,Stand
0,0.00000,0.00000
1,0.00000,0.00000
2,0.00000,0.00000
3,0.00000,0.00000
4,0.00000,0.00000
5,0.00000,0.00000
6,0.00000,0.00000
7,0.00000,0.00000
8,0.00000,0.00000
9,0.00000,0.00000
10,0.00000,0.00000
11,0.00000,0.00000
12,-0.17839,-0.69956
13,-0.53585,-0.70274
14,-0.42179,-0.41957
15,-0.62988,-0.29090
16,-0.72194,-0.87628
17,-0.73532,-0.29262
18,-0.69250,-0.06159
19,-0.90450,0.20692
20,-0.82912,0.59906
21,-0.43365,0.83360
22,0.00000,0.00000
23,0.00000,0.00000
24,0.00000,0.00000
25,0.00000,0.00000
26,0.00000,0.00000
27,0.00000,0.00000
28,0.00000,0.00000
29,0.00000,0.00000
30,0.00000,0.00000
31,0.00000,0.00000
